degree,field,gpa,experience,graduation_year,skills,target_role
MBA,Mechanical,7.0,5,2020,"solidworks,design",Mechanical Engineer
BSc,CSE,9.51,2,2023,"dsa,java",Software Engineer
BSc,CSE,9.05,3,2022,"sql,python",Software Engineer
MTech,ECE,8.27,1,2024,"embedded,c",Electrical Engineer
MBA,EEE,7.4,3,2022,"circuits,power systems",Electrical Engineer
MCA,HR,6.61,5,2020,"recruitment,communication",Business Analyst
BTech,EEE,9.47,0,2025,"power systems,circuits",Electrical Engineer
MBA,ECE,7.92,6,2019,"signals,c",Electrical Engineer
BTech,IT,6.82,4,2021,"react,html",Web Developer
MCA,AI/ML,5.7,6,2019,"ml,deep learning",Software Engineer
BSc,Data Science,5.58,6,2019,"python,ml",Software Engineer
MTech,EEE,9.16,5,2020,"circuits,power systems",Electrical Engineer
MTech,IT,7.69,2,2023,"js,css",Web Developer
MBA,Mechanical,6.18,4,2021,"design,solidworks",Mechanical Engineer
MCA,CSE,7.9,0,2025,"dsa,sql",Web Developer
MBA,ECE,6.46,4,2021,"c,signals",Electrical Engineer
MBA,HR,8.74,0,2025,"recruitment,communication",Business Analyst
BSc,ECE,9.24,3,2022,"c,embedded",Electrical Engineer
MBA,EEE,8.85,7,2018,"circuits,power systems",Electrical Engineer
MBA,Civil,6.09,5,2020,"construction,autocad",Civil Engineer
MBA,HR,7.38,4,2021,"communication,recruitment",Business Analyst
MBA,HR,5.53,6,2019,"communication,recruitment",Business Analyst
MBA,IT,8.61,5,2020,"js,react",Software Engineer
MBA,IT,7.38,1,2024,"html,react",Web Developer
MCA,ECE,7.4,7,2018,"embedded,signals",Electrical Engineer
MTech,IT,9.01,5,2020,"react,html",Software Engineer
BSc,Mechanical,6.87,1,2024,"solidworks,design",Mechanical Engineer
BTech,HR,6.67,0,2025,"communication,recruitment",Business Analyst
MCA,Civil,9.79,6,2019,"construction,autocad",Civil Engineer
BTech,HR,7.72,1,2024,"communication,recruitment",Business Analyst
MBA,Civil,8.88,0,2025,"construction,autocad",Civil Engineer
MTech,ECE,5.55,2,2023,"c,signals",Electrical Engineer
BTech,EEE,9.33,7,2018,"circuits,power systems",Electrical Engineer
BSc,Mechanical,7.17,0,2025,"design,solidworks",Mechanical Engineer
MTech,ECE,5.51,0,2025,"signals,embedded",Electrical Engineer
BTech,AI/ML,8.66,3,2022,"deep learning,python",Data Scientist
MTech,Mechanical,7.71,3,2022,"design,solidworks",Mechanical Engineer
MCA,CSE,7.25,7,2018,"dsa,sql",Web Developer
MBA,HR,8.06,1,2024,"recruitment,communication",Business Analyst
MBA,Data Science,8.43,6,2019,"python,ml",Data Scientist
MBA,CSE,9.16,2,2023,"python,java",Software Engineer
BTech,Mechanical,7.58,7,2018,"design,solidworks",Mechanical Engineer
BTech,Mechanical,7.88,4,2021,"design,solidworks",Mechanical Engineer
BSc,IT,9.02,3,2022,"css,html",Software Engineer
MTech,AI/ML,8.42,3,2022,"python,ml",Data Scientist
BSc,AI/ML,9.39,6,2019,"python,ml",Data Scientist
MCA,CSE,5.57,4,2021,"python,dsa",Web Developer
BTech,ECE,8.51,2,2023,"c,embedded",Electrical Engineer
MCA,AI/ML,6.4,3,2022,"python,ml",Software Engineer
MBA,CSE,6.13,7,2018,"sql,python",Web Developer
MBA,HR,9.35,3,2022,"communication,recruitment",Business Analyst
BTech,Civil,6.8,1,2024,"autocad,construction",Civil Engineer
BTech,Mechanical,8.66,3,2022,"design,solidworks",Mechanical Engineer
MCA,Civil,6.41,7,2018,"autocad,construction",Civil Engineer
BTech,Data Science,6.51,2,2023,"python,ml",Software Engineer
MBA,EEE,9.04,3,2022,"circuits,power systems",Electrical Engineer
BTech,ECE,9.23,5,2020,"signals,c",Electrical Engineer
MBA,IT,7.2,2,2023,"html,js",Web Developer
MCA,Mechanical,8.32,7,2018,"solidworks,design",Mechanical Engineer
BTech,Mechanical,7.62,4,2021,"solidworks,design",Mechanical Engineer
BSc,Mechanical,5.68,3,2022,"design,solidworks",Mechanical Engineer
MCA,ECE,5.64,1,2024,"c,signals",Electrical Engineer
MBA,AI/ML,8.97,3,2022,"python,deep learning",Data Scientist
BTech,IT,8.29,5,2020,"css,html",Software Engineer
BTech,Civil,8.68,4,2021,"construction,autocad",Civil Engineer
BSc,HR,9.71,6,2019,"recruitment,communication",Business Analyst
BTech,ECE,6.54,1,2024,"c,embedded",Electrical Engineer
BSc,ECE,8.37,4,2021,"signals,c",Electrical Engineer
MCA,HR,6.03,6,2019,"recruitment,communication",Business Analyst
MTech,ECE,7.26,5,2020,"embedded,signals",Electrical Engineer
MCA,Civil,8.53,4,2021,"construction,autocad",Civil Engineer
BSc,EEE,9.6,7,2018,"circuits,power systems",Electrical Engineer
BSc,Mechanical,6.36,3,2022,"design,solidworks",Mechanical Engineer
MTech,CSE,6.06,1,2024,"java,python",Web Developer
MBA,EEE,6.04,7,2018,"power systems,circuits",Electrical Engineer
BSc,HR,7.93,5,2020,"communication,recruitment",Business Analyst
BSc,HR,8.53,2,2023,"communication,recruitment",Business Analyst
BSc,Civil,8.91,7,2018,"autocad,construction",Civil Engineer
BTech,AI/ML,6.13,1,2024,"deep learning,ml",Software Engineer
MTech,ECE,8.27,4,2021,"c,signals",Electrical Engineer
MCA,CSE,8.24,6,2019,"java,sql",Software Engineer
MCA,ECE,7.93,7,2018,"c,signals",Electrical Engineer
MBA,CSE,5.94,0,2025,"sql,dsa",Web Developer
MBA,Mechanical,6.61,7,2018,"solidworks,design",Mechanical Engineer
MBA,AI/ML,8.85,5,2020,"python,deep learning",Data Scientist
MCA,AI/ML,6.05,2,2023,"deep learning,python",Software Engineer
MTech,IT,5.59,5,2020,"css,js",Web Developer
MCA,ECE,6.98,5,2020,"c,embedded",Electrical Engineer
MCA,EEE,7.76,7,2018,"circuits,power systems",Electrical Engineer
MTech,HR,9.28,3,2022,"recruitment,communication",Business Analyst
BTech,CSE,6.03,5,2020,"java,python",Web Developer
MCA,Data Science,7.1,1,2024,"python,ml",Software Engineer
MCA,CSE,6.71,7,2018,"dsa,python",Web Developer
BSc,AI/ML,5.79,2,2023,"python,ml",Software Engineer
MBA,Mechanical,8.66,7,2018,"solidworks,design",Mechanical Engineer
MTech,HR,8.28,2,2023,"communication,recruitment",Business Analyst
MBA,ECE,6.13,4,2021,"embedded,c",Electrical Engineer
MBA,HR,7.72,1,2024,"communication,recruitment",Business Analyst
BTech,EEE,9.68,0,2025,"power systems,circuits",Electrical Engineer
BSc,Mechanical,9.28,1,2024,"solidworks,design",Mechanical Engineer
BSc,AI/ML,7.36,5,2020,"deep learning,ml",Software Engineer
MBA,IT,5.93,5,2020,"react,js",Web Developer
BTech,IT,9.72,1,2024,"css,html",Software Engineer
BTech,Civil,8.41,1,2024,"construction,autocad",Civil Engineer
BSc,CSE,8.88,2,2023,"java,dsa",Software Engineer
MTech,CSE,5.6,7,2018,"sql,dsa",Web Developer
MBA,AI/ML,7.47,4,2021,"ml,deep learning",Software Engineer
BTech,EEE,6.16,1,2024,"circuits,power systems",Electrical Engineer
MTech,Mechanical,9.26,4,2021,"solidworks,design",Mechanical Engineer
BSc,Civil,7.83,2,2023,"autocad,construction",Civil Engineer
MTech,CSE,9.19,1,2024,"python,java",Software Engineer
MTech,Mechanical,7.41,7,2018,"design,solidworks",Mechanical Engineer
BSc,CSE,6.83,3,2022,"java,sql",Web Developer
MCA,Civil,7.0,0,2025,"autocad,construction",Civil Engineer
BTech,AI/ML,6.35,6,2019,"ml,python",Software Engineer
MCA,HR,9.27,5,2020,"recruitment,communication",Business Analyst
MCA,Mechanical,8.2,1,2024,"solidworks,design",Mechanical Engineer
BSc,CSE,7.6,5,2020,"dsa,python",Web Developer
MBA,Data Science,5.52,1,2024,"statistics,sql",Software Engineer
MCA,ECE,8.32,5,2020,"c,embedded",Electrical Engineer
MTech,AI/ML,5.67,7,2018,"deep learning,ml",Software Engineer
BSc,EEE,6.31,5,2020,"circuits,power systems",Electrical Engineer
MBA,HR,7.73,2,2023,"communication,recruitment",Business Analyst
MTech,IT,5.76,5,2020,"react,js",Web Developer
BSc,Data Science,9.17,0,2025,"statistics,sql",Data Scientist
BTech,Mechanical,9.38,6,2019,"solidworks,design",Mechanical Engineer
MTech,Data Science,8.53,7,2018,"sql,python",Data Scientist
BSc,Mechanical,5.58,1,2024,"design,solidworks",Mechanical Engineer
BSc,Civil,8.76,7,2018,"construction,autocad",Civil Engineer
MTech,ECE,7.7,2,2023,"c,signals",Electrical Engineer
MTech,Data Science,6.0,0,2025,"python,sql",Software Engineer
MBA,AI/ML,6.87,1,2024,"ml,deep learning",Software Engineer
MTech,CSE,6.21,1,2024,"sql,java",Web Developer
BSc,Data Science,7.45,1,2024,"ml,statistics",Software Engineer
MTech,ECE,8.73,1,2024,"signals,embedded",Electrical Engineer
MBA,EEE,9.1,3,2022,"circuits,power systems",Electrical Engineer
BTech,Mechanical,6.08,2,2023,"design,solidworks",Mechanical Engineer
MBA,IT,8.03,1,2024,"css,html",Software Engineer
BSc,HR,9.24,2,2023,"recruitment,communication",Business Analyst
BSc,EEE,7.47,5,2020,"circuits,power systems",Electrical Engineer
BTech,Data Science,9.79,7,2018,"statistics,python",Data Scientist
MBA,Data Science,9.39,1,2024,"statistics,python",Data Scientist
BTech,EEE,5.74,2,2023,"power systems,circuits",Electrical Engineer
MBA,Data Science,6.66,6,2019,"sql,python",Software Engineer
MCA,AI/ML,7.65,5,2020,"deep learning,python",Data Scientist
MBA,ECE,8.28,2,2023,"embedded,c",Electrical Engineer
MCA,CSE,6.52,0,2025,"sql,dsa",Web Developer
MTech,Data Science,6.13,3,2022,"statistics,ml",Software Engineer
MBA,EEE,6.13,1,2024,"power systems,circuits",Electrical Engineer
BSc,EEE,9.6,0,2025,"power systems,circuits",Electrical Engineer
MTech,IT,5.71,6,2019,"react,css",Web Developer
MCA,Mechanical,5.52,4,2021,"solidworks,design",Mechanical Engineer
BTech,Data Science,5.57,1,2024,"ml,sql",Software Engineer
BSc,Civil,6.24,2,2023,"construction,autocad",Civil Engineer
BSc,CSE,6.15,1,2024,"dsa,sql",Web Developer
BTech,Mechanical,7.2,3,2022,"design,solidworks",Mechanical Engineer
MCA,EEE,6.84,2,2023,"circuits,power systems",Electrical Engineer
MBA,Data Science,6.49,5,2020,"sql,ml",Software Engineer
MBA,AI/ML,6.67,3,2022,"python,deep learning",Software Engineer
BTech,Civil,9.49,4,2021,"construction,autocad",Civil Engineer
BSc,EEE,6.64,7,2018,"circuits,power systems",Electrical Engineer
MCA,ECE,8.3,6,2019,"c,signals",Electrical Engineer
BSc,CSE,6.76,7,2018,"dsa,java",Web Developer
MCA,HR,8.65,1,2024,"communication,recruitment",Business Analyst
MCA,CSE,7.3,1,2024,"sql,dsa",Web Developer
MTech,ECE,8.88,1,2024,"signals,embedded",Electrical Engineer
MTech,Civil,7.18,5,2020,"autocad,construction",Civil Engineer
MTech,Data Science,6.43,4,2021,"python,sql",Software Engineer
MTech,Mechanical,6.32,1,2024,"solidworks,design",Mechanical Engineer
MTech,HR,6.01,2,2023,"recruitment,communication",Business Analyst
MBA,Data Science,9.06,1,2024,"sql,python",Data Scientist
BSc,AI/ML,8.9,4,2021,"deep learning,python",Data Scientist
BTech,Data Science,9.74,7,2018,"sql,python",Data Scientist
MCA,CSE,9.24,3,2022,"java,python",Software Engineer
MBA,IT,6.39,3,2022,"js,react",Web Developer
BSc,Civil,6.87,1,2024,"autocad,construction",Civil Engineer
MTech,Data Science,7.05,3,2022,"python,statistics",Software Engineer
BTech,CSE,6.91,5,2020,"java,python",Web Developer
BSc,Data Science,6.34,4,2021,"python,sql",Software Engineer
MTech,Data Science,5.65,2,2023,"statistics,ml",Software Engineer
MBA,Data Science,9.72,4,2021,"statistics,ml",Data Scientist
MBA,IT,7.77,2,2023,"html,js",Web Developer
MCA,HR,8.31,3,2022,"communication,recruitment",Business Analyst
BTech,ECE,7.91,4,2021,"c,signals",Electrical Engineer
BTech,HR,8.81,5,2020,"communication,recruitment",Business Analyst
BSc,AI/ML,9.79,0,2025,"python,ml",Data Scientist
BSc,Mechanical,8.58,5,2020,"solidworks,design",Mechanical Engineer
MCA,IT,7.34,5,2020,"js,react",Web Developer
MCA,AI/ML,6.92,5,2020,"deep learning,python",Software Engineer
MBA,AI/ML,9.23,1,2024,"ml,deep learning",Data Scientist
MCA,ECE,9.67,2,2023,"signals,embedded",Electrical Engineer
MCA,HR,7.07,6,2019,"communication,recruitment",Business Analyst
MBA,Mechanical,6.18,2,2023,"solidworks,design",Mechanical Engineer
BSc,EEE,6.64,1,2024,"power systems,circuits",Electrical Engineer
BTech,CSE,7.62,2,2023,"python,sql",Web Developer
BTech,Mechanical,7.02,1,2024,"design,solidworks",Mechanical Engineer
MCA,Data Science,8.13,5,2020,"statistics,ml",Data Scientist
MBA,EEE,6.65,6,2019,"power systems,circuits",Electrical Engineer
MTech,Civil,7.02,6,2019,"autocad,construction",Civil Engineer
BSc,Civil,6.79,7,2018,"construction,autocad",Civil Engineer
MBA,ECE,5.66,4,2021,"embedded,signals",Electrical Engineer
MCA,Civil,9.21,5,2020,"autocad,construction",Civil Engineer
MBA,HR,8.11,5,2020,"communication,recruitment",Business Analyst
BSc,EEE,7.39,2,2023,"power systems,circuits",Electrical Engineer
BTech,HR,7.56,0,2025,"communication,recruitment",Business Analyst
BSc,IT,7.71,4,2021,"react,css",Web Developer
MBA,EEE,6.4,3,2022,"power systems,circuits",Electrical Engineer
MCA,ECE,6.53,5,2020,"embedded,c",Electrical Engineer
BSc,IT,6.96,4,2021,"js,html",Web Developer
MBA,AI/ML,5.87,2,2023,"python,ml",Software Engineer
MCA,EEE,6.08,2,2023,"circuits,power systems",Electrical Engineer
BTech,CSE,9.17,4,2021,"dsa,sql",Software Engineer
BSc,EEE,8.54,6,2019,"power systems,circuits",Electrical Engineer
BSc,Civil,6.13,7,2018,"autocad,construction",Civil Engineer
MTech,CSE,9.19,6,2019,"java,dsa",Software Engineer
BTech,IT,8.51,4,2021,"js,html",Software Engineer
BTech,EEE,5.7,4,2021,"power systems,circuits",Electrical Engineer
MCA,IT,6.35,0,2025,"css,react",Web Developer
MCA,Data Science,5.54,6,2019,"python,ml",Software Engineer
MTech,CSE,8.67,2,2023,"dsa,java",Software Engineer
BTech,AI/ML,7.47,2,2023,"deep learning,python",Software Engineer
BSc,Data Science,9.2,2,2023,"sql,statistics",Data Scientist
BTech,ECE,6.08,5,2020,"signals,c",Electrical Engineer
MCA,IT,7.58,6,2019,"css,js",Web Developer
BTech,AI/ML,8.51,5,2020,"ml,python",Data Scientist
BTech,Mechanical,7.5,5,2020,"solidworks,design",Mechanical Engineer
MBA,Mechanical,7.37,0,2025,"solidworks,design",Mechanical Engineer
MCA,Civil,7.61,0,2025,"autocad,construction",Civil Engineer
BSc,Data Science,7.33,1,2024,"sql,python",Software Engineer
BTech,IT,7.02,2,2023,"js,react",Web Developer
BSc,Mechanical,7.96,3,2022,"solidworks,design",Mechanical Engineer
BSc,Data Science,8.51,2,2023,"sql,python",Data Scientist
MTech,Civil,8.39,2,2023,"autocad,construction",Civil Engineer
BSc,AI/ML,6.95,7,2018,"python,deep learning",Software Engineer
BSc,AI/ML,7.58,2,2023,"ml,python",Data Scientist
MTech,Data Science,8.65,6,2019,"ml,statistics",Data Scientist
BSc,EEE,9.32,6,2019,"circuits,power systems",Electrical Engineer
MTech,IT,5.87,2,2023,"react,html",Web Developer
MCA,HR,6.42,5,2020,"recruitment,communication",Business Analyst
BSc,Civil,6.3,0,2025,"autocad,construction",Civil Engineer
BSc,CSE,7.32,6,2019,"python,sql",Web Developer
MBA,EEE,7.89,2,2023,"circuits,power systems",Electrical Engineer
BSc,ECE,6.25,6,2019,"c,embedded",Electrical Engineer
BTech,Civil,7.83,6,2019,"construction,autocad",Civil Engineer
BTech,AI/ML,8.92,3,2022,"deep learning,python",Data Scientist
BSc,EEE,9.48,1,2024,"power systems,circuits",Electrical Engineer
BSc,CSE,9.14,0,2025,"python,sql",Software Engineer
MCA,Mechanical,8.26,6,2019,"design,solidworks",Mechanical Engineer
MBA,CSE,9.43,7,2018,"dsa,java",Software Engineer
MCA,AI/ML,8.36,5,2020,"python,deep learning",Data Scientist
MTech,CSE,6.27,1,2024,"java,dsa",Web Developer
BSc,ECE,8.98,6,2019,"signals,c",Electrical Engineer
MCA,IT,5.59,0,2025,"css,js",Web Developer
MBA,EEE,6.42,0,2025,"circuits,power systems",Electrical Engineer
BSc,Civil,9.63,4,2021,"autocad,construction",Civil Engineer
BSc,IT,9.35,1,2024,"js,css",Software Engineer
MBA,ECE,8.61,3,2022,"signals,embedded",Electrical Engineer
MTech,ECE,6.76,4,2021,"signals,c",Electrical Engineer
BTech,EEE,7.22,1,2024,"power systems,circuits",Electrical Engineer
MTech,CSE,5.55,1,2024,"dsa,java",Web Developer
MCA,IT,8.36,1,2024,"html,css",Software Engineer
BTech,ECE,8.1,5,2020,"c,signals",Electrical Engineer
BTech,Data Science,9.23,4,2021,"statistics,python",Data Scientist
BTech,Mechanical,7.04,6,2019,"solidworks,design",Mechanical Engineer
BSc,Mechanical,8.51,7,2018,"design,solidworks",Mechanical Engineer
MBA,IT,9.66,5,2020,"js,react",Software Engineer
BSc,EEE,8.4,2,2023,"circuits,power systems",Electrical Engineer
MCA,Data Science,9.06,7,2018,"python,statistics",Data Scientist
MCA,AI/ML,7.52,1,2024,"ml,deep learning",Data Scientist
MCA,HR,7.82,4,2021,"recruitment,communication",Business Analyst
MTech,Mechanical,9.17,3,2022,"design,solidworks",Mechanical Engineer
BSc,ECE,9.52,4,2021,"signals,embedded",Electrical Engineer
BTech,Mechanical,5.62,5,2020,"design,solidworks",Mechanical Engineer
MBA,HR,6.89,3,2022,"recruitment,communication",Business Analyst
MBA,IT,7.41,1,2024,"css,react",Web Developer
BTech,AI/ML,8.85,1,2024,"python,deep learning",Data Scientist
MBA,IT,8.89,6,2019,"css,html",Software Engineer
BSc,EEE,9.22,0,2025,"power systems,circuits",Electrical Engineer
BSc,IT,9.52,7,2018,"css,react",Software Engineer
BTech,CSE,8.93,2,2023,"dsa,python",Software Engineer
BSc,Civil,7.43,6,2019,"construction,autocad",Civil Engineer
MTech,CSE,6.69,7,2018,"java,python",Web Developer
BSc,HR,9.33,3,2022,"communication,recruitment",Business Analyst
MTech,AI/ML,7.08,1,2024,"ml,deep learning",Software Engineer
BTech,HR,6.1,7,2018,"communication,recruitment",Business Analyst
MBA,ECE,8.85,1,2024,"c,signals",Electrical Engineer
MCA,Mechanical,8.8,4,2021,"solidworks,design",Mechanical Engineer
MTech,HR,8.52,7,2018,"recruitment,communication",Business Analyst
MBA,ECE,7.2,4,2021,"signals,embedded",Electrical Engineer
BSc,AI/ML,9.57,2,2023,"deep learning,python",Data Scientist
BSc,CSE,5.77,1,2024,"java,dsa",Web Developer
MBA,HR,9.23,7,2018,"communication,recruitment",Business Analyst
BTech,Data Science,8.22,1,2024,"python,ml",Data Scientist
MTech,ECE,5.89,0,2025,"embedded,signals",Electrical Engineer
MBA,EEE,6.45,5,2020,"circuits,power systems",Electrical Engineer
BSc,Data Science,7.71,1,2024,"sql,statistics",Data Scientist
MCA,EEE,7.68,1,2024,"power systems,circuits",Electrical Engineer
MBA,IT,7.34,7,2018,"react,js",Web Developer
MTech,EEE,8.42,1,2024,"power systems,circuits",Electrical Engineer
BTech,Mechanical,6.34,2,2023,"solidworks,design",Mechanical Engineer
MCA,HR,7.88,7,2018,"recruitment,communication",Business Analyst
BSc,HR,8.08,2,2023,"communication,recruitment",Business Analyst
MCA,Mechanical,5.77,5,2020,"solidworks,design",Mechanical Engineer
MCA,AI/ML,6.22,7,2018,"python,deep learning",Software Engineer
BSc,Mechanical,8.3,1,2024,"solidworks,design",Mechanical Engineer
MBA,AI/ML,6.46,3,2022,"ml,python",Software Engineer
MCA,Civil,8.65,1,2024,"autocad,construction",Civil Engineer
BSc,Civil,5.89,4,2021,"construction,autocad",Civil Engineer
MCA,AI/ML,9.09,7,2018,"deep learning,ml",Data Scientist
MCA,Data Science,9.39,1,2024,"statistics,sql",Data Scientist
BSc,Data Science,6.84,3,2022,"statistics,sql",Software Engineer
MCA,Mechanical,6.88,4,2021,"solidworks,design",Mechanical Engineer
BSc,Civil,8.44,6,2019,"autocad,construction",Civil Engineer
MCA,Civil,5.88,0,2025,"autocad,construction",Civil Engineer
BSc,CSE,9.22,5,2020,"java,sql",Software Engineer
MBA,ECE,6.2,5,2020,"c,embedded",Electrical Engineer
MCA,CSE,6.13,6,2019,"python,dsa",Web Developer
MCA,ECE,9.74,0,2025,"embedded,c",Electrical Engineer
MCA,Mechanical,9.03,6,2019,"design,solidworks",Mechanical Engineer
BTech,Mechanical,8.58,7,2018,"solidworks,design",Mechanical Engineer
MBA,Civil,8.29,3,2022,"autocad,construction",Civil Engineer
BTech,ECE,7.12,4,2021,"c,embedded",Electrical Engineer
MBA,Mechanical,8.66,4,2021,"solidworks,design",Mechanical Engineer
BSc,ECE,6.43,2,2023,"signals,c",Electrical Engineer
BTech,AI/ML,8.23,0,2025,"deep learning,ml",Data Scientist
MTech,Civil,5.55,4,2021,"construction,autocad",Civil Engineer
BTech,CSE,9.46,2,2023,"java,dsa",Software Engineer
MCA,HR,7.98,6,2019,"recruitment,communication",Business Analyst
BSc,Mechanical,7.16,5,2020,"solidworks,design",Mechanical Engineer
MBA,IT,7.19,5,2020,"react,css",Web Developer
MBA,Civil,9.26,6,2019,"construction,autocad",Civil Engineer
BSc,HR,5.67,7,2018,"recruitment,communication",Business Analyst
MCA,AI/ML,5.53,4,2021,"ml,deep learning",Software Engineer
BSc,CSE,9.57,4,2021,"java,python",Software Engineer
BSc,ECE,6.08,1,2024,"signals,embedded",Electrical Engineer
MBA,EEE,7.76,3,2022,"power systems,circuits",Electrical Engineer
MBA,EEE,6.72,1,2024,"circuits,power systems",Electrical Engineer
MCA,CSE,8.48,3,2022,"java,sql",Software Engineer
MBA,CSE,6.98,2,2023,"java,dsa",Web Developer
MCA,HR,8.81,0,2025,"communication,recruitment",Business Analyst
MTech,Data Science,6.28,7,2018,"python,sql",Software Engineer
MCA,IT,5.82,2,2023,"css,html",Web Developer
BSc,Data Science,8.45,6,2019,"python,ml",Data Scientist
BSc,CSE,6.46,5,2020,"java,python",Web Developer
MTech,HR,7.76,5,2020,"recruitment,communication",Business Analyst
BSc,IT,9.21,4,2021,"js,react",Software Engineer
MTech,EEE,9.58,2,2023,"power systems,circuits",Electrical Engineer
MCA,HR,9.66,3,2022,"communication,recruitment",Business Analyst
MTech,Data Science,5.91,7,2018,"python,statistics",Software Engineer
MBA,HR,6.22,3,2022,"recruitment,communication",Business Analyst
MBA,EEE,8.71,5,2020,"power systems,circuits",Electrical Engineer
MBA,AI/ML,7.18,3,2022,"deep learning,ml",Software Engineer
MCA,Data Science,5.52,0,2025,"statistics,python",Software Engineer
MCA,CSE,9.24,5,2020,"sql,java",Software Engineer
MCA,ECE,8.08,2,2023,"c,embedded",Electrical Engineer
BTech,Data Science,7.9,7,2018,"statistics,sql",Data Scientist
BTech,AI/ML,9.27,3,2022,"python,deep learning",Data Scientist
MBA,Civil,8.65,0,2025,"autocad,construction",Civil Engineer
MCA,EEE,9.34,1,2024,"circuits,power systems",Electrical Engineer
MBA,Civil,9.03,5,2020,"construction,autocad",Civil Engineer
MTech,IT,6.94,3,2022,"html,react",Web Developer
MBA,CSE,7.9,2,2023,"python,sql",Web Developer
BTech,IT,6.22,2,2023,"html,react",Web Developer
BSc,IT,5.83,7,2018,"js,html",Web Developer
BSc,Civil,7.59,1,2024,"autocad,construction",Civil Engineer
BSc,Mechanical,8.35,3,2022,"solidworks,design",Mechanical Engineer
MCA,AI/ML,8.88,0,2025,"ml,deep learning",Data Scientist
BSc,ECE,8.43,2,2023,"embedded,signals",Electrical Engineer
MBA,Civil,8.84,5,2020,"autocad,construction",Civil Engineer
BSc,Mechanical,8.39,1,2024,"design,solidworks",Mechanical Engineer
MCA,CSE,5.92,5,2020,"java,python",Web Developer
MBA,Data Science,7.38,0,2025,"sql,python",Software Engineer
MBA,IT,8.63,1,2024,"css,js",Software Engineer
MBA,AI/ML,9.24,1,2024,"deep learning,python",Data Scientist
MTech,HR,8.52,6,2019,"communication,recruitment",Business Analyst
MBA,AI/ML,7.4,7,2018,"ml,python",Software Engineer
BTech,CSE,7.44,6,2019,"dsa,java",Web Developer
BTech,CSE,8.86,3,2022,"dsa,sql",Software Engineer
MBA,IT,8.09,7,2018,"react,js",Software Engineer
MBA,Data Science,7.02,7,2018,"ml,sql",Software Engineer
MBA,Mechanical,5.64,5,2020,"design,solidworks",Mechanical Engineer
BSc,ECE,9.76,3,2022,"embedded,c",Electrical Engineer
MTech,Civil,7.9,2,2023,"construction,autocad",Civil Engineer
MBA,Mechanical,9.41,0,2025,"design,solidworks",Mechanical Engineer
MTech,ECE,8.31,7,2018,"embedded,signals",Electrical Engineer
BTech,EEE,6.36,5,2020,"power systems,circuits",Electrical Engineer
BSc,AI/ML,8.37,6,2019,"deep learning,ml",Data Scientist
BTech,HR,8.06,0,2025,"communication,recruitment",Business Analyst
BSc,IT,6.8,0,2025,"js,css",Web Developer
BTech,Data Science,9.29,3,2022,"python,ml",Data Scientist
MCA,IT,6.35,2,2023,"react,js",Web Developer
BTech,ECE,6.45,2,2023,"signals,embedded",Electrical Engineer
MCA,IT,8.98,6,2019,"css,react",Software Engineer
BSc,ECE,7.59,7,2018,"embedded,c",Electrical Engineer
BSc,IT,6.85,3,2022,"react,html",Web Developer
BTech,Civil,6.75,2,2023,"construction,autocad",Civil Engineer
MCA,HR,6.1,2,2023,"communication,recruitment",Business Analyst
MTech,AI/ML,8.43,1,2024,"ml,python",Data Scientist
MCA,AI/ML,6.5,4,2021,"deep learning,ml",Software Engineer
MCA,CSE,6.39,6,2019,"python,java",Web Developer
BTech,IT,8.05,1,2024,"html,js",Software Engineer
MTech,Data Science,7.41,5,2020,"statistics,python",Software Engineer
MTech,Data Science,8.28,4,2021,"statistics,sql",Data Scientist
MCA,Mechanical,9.02,2,2023,"solidworks,design",Mechanical Engineer
MBA,EEE,6.4,5,2020,"circuits,power systems",Electrical Engineer
MBA,Data Science,8.23,4,2021,"statistics,sql",Data Scientist
MBA,AI/ML,9.36,7,2018,"deep learning,ml",Data Scientist
BSc,Mechanical,9.26,7,2018,"solidworks,design",Mechanical Engineer
MCA,Mechanical,6.39,3,2022,"solidworks,design",Mechanical Engineer
MBA,Mechanical,8.06,4,2021,"design,solidworks",Mechanical Engineer
MBA,Civil,9.19,0,2025,"construction,autocad",Civil Engineer
MCA,HR,7.26,5,2020,"communication,recruitment",Business Analyst
MTech,HR,8.8,1,2024,"recruitment,communication",Business Analyst
BTech,IT,7.14,0,2025,"react,html",Web Developer
MCA,Data Science,6.07,3,2022,"ml,statistics",Software Engineer
BTech,CSE,9.26,1,2024,"dsa,python",Software Engineer
BTech,ECE,9.23,7,2018,"c,embedded",Electrical Engineer
MCA,Data Science,9.03,4,2021,"ml,sql",Data Scientist
MTech,ECE,7.57,6,2019,"signals,c",Electrical Engineer
MTech,EEE,9.48,3,2022,"circuits,power systems",Electrical Engineer
MCA,IT,6.84,7,2018,"css,html",Web Developer
MTech,Mechanical,9.45,5,2020,"solidworks,design",Mechanical Engineer
BTech,HR,6.8,3,2022,"recruitment,communication",Business Analyst
BTech,IT,7.09,3,2022,"css,js",Web Developer
MBA,Civil,9.34,5,2020,"construction,autocad",Civil Engineer
MCA,ECE,6.5,1,2024,"c,signals",Electrical Engineer
MCA,ECE,5.9,0,2025,"signals,embedded",Electrical Engineer
BTech,ECE,9.38,3,2022,"embedded,c",Electrical Engineer
MTech,HR,6.57,4,2021,"communication,recruitment",Business Analyst
